localmappingnumber,kf_id,track_frame_id,timestamp_ms,kf_insertion_ms,map_points_total,new_map_points,queue_length,kf_culled,mean_reprojection_error,max_reprojection_error,optimization_time_ms,ba_executed,ba_aborted,ba_iters,tracking_lost,source,event_type,timestamp,rel_time_s,map_id,tracking_state,imu_initialized,ba_type,num_opt_kf,num_fixed_kf,num_mappoints,num_edges,visual_chi2_before,visual_chi2_after,imu_chi2_before,imu_chi2_after,imu_chi2_mean,imu_chi2_max,imu_rot_res_mean,imu_vel_res_mean,imu_pos_res_mean,gyro_rw_chi2,acc_rw_chi2,bias_delta_norm,velocity_delta_norm,pose_correction_trans_norm,pose_correction_rot_deg,init_scale,init_bg_norm,init_ba_norm,init_prior_g,init_prior_a,init_full_ba
43,42,710,1778812610156,2.912,4375,1331,0,0,0.6884,6.9610,18.576,1,0,9,0,LocalMapping,LOCAL_BA,1403715559.412143,35.500000,0,OK,no,LocalBundleAdjustment,7,11,1789,3593,0.742920,0.388176,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.011743,0.187672,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
44,43,735,1778812611497,3.024,4470,1322,0,0,0.7834,7.0782,30.878,1,0,4,0,LocalMapping,LOCAL_BA,1403715560.662143,36.750000,0,OK,no,LocalBundleAdjustment,14,20,2769,7166,0.762013,0.564495,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.018627,0.176939,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
45,44,761,1778812612876,3.191,4475,1155,0,0,0.8102,7.0220,27.862,1,0,4,0,LocalMapping,LOCAL_BA,1403715561.962143,38.050000,0,OK,no,LocalBundleAdjustment,14,25,2601,7039,0.664353,0.581822,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.010816,0.125115,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
46,45,779,1778812613843,3.148,4402,997,0,0,0.8534,7.0882,32.259,1,0,4,0,LocalMapping,LOCAL_BA,1403715562.862143,38.950000,0,OK,no,LocalBundleAdjustment,15,23,2441,7109,0.728275,0.620758,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.007531,0.079129,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
47,46,791,1778812614490,3.287,4223,762,0,0,0.9102,7.1425,38.452,1,0,4,0,LocalMapping,LOCAL_BA,1403715563.462143,39.550000,0,OK,no,LocalBundleAdjustment,19,22,2685,9040,0.691315,0.647423,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.037098,0.386643,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
48,47,798,1778812614871,3.385,4297,826,0,0,0.9216,7.5102,44.762,1,0,4,0,LocalMapping,LOCAL_BA,1403715563.812143,39.900000,0,OK,no,LocalBundleAdjustment,18,24,2681,9353,0.747736,0.663102,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.014923,0.160713,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
49,48,803,1778812615126,3.328,4519,952,0,0,0.9050,7.7575,34.654,1,0,3,0,LocalMapping,LOCAL_BA,1403715564.062143,40.150000,0,OK,no,LocalBundleAdjustment,16,27,2632,9142,0.729327,0.680033,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.010906,0.118694,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
50,49,807,1778812615337,2.719,4621,1085,0,0,0.9155,8.0258,33.547,1,0,3,0,LocalMapping,LOCAL_BA,1403715564.262143,40.350000,0,OK,no,LocalBundleAdjustment,15,29,2520,8585,0.739895,0.677229,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.013019,0.137056,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
51,50,811,1778812615567,3.044,4630,928,0,0,0.9389,9.4810,47.871,1,0,3,0,LocalMapping,LOCAL_BA,1403715564.462143,40.550000,0,OK,no,LocalBundleAdjustment,27,14,3048,10368,0.678230,0.629629,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.014772,0.158259,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
52,51,818,1778812615939,4.025,4922,1065,0,0,0.8643,9.3719,42.982,1,0,4,0,LocalMapping,LOCAL_BA,1403715564.812143,40.900000,0,OK,no,LocalBundleAdjustment,21,19,2739,8596,0.792867,0.740295,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0.007839,0.155766,-1.000000,-1.000000,-1.000000,-1.000000,-1.000000,0
